color;enable;color_name;hex_code;r;g;b;remark
red;1;IndianRed;#CD5C5C;205;92;92;
red;1;LightCoral;#F08080;240;128;128;
red;1;Salmon;#FA8072;250;128;114;
red;1;DarkSalmon;#E9967A;233;150;122;
red;1;LightSalmon;#FFA07A;255;160;122;
red;1;Crimson;#DC143C;220;20;60;
red;1;Red;#FF0000;255;0;0;
red;1;FireBrick;#B22222;178;34;34;
red;1;DarkRed;#8B0000;139;0;0;
pink;1;Pink;#FFC0CB;255;192;203;
pink;1;LightPink;#FFB6C1;255;182;193;
pink;1;HotPink;#FF69B4;255;105;180;
pink;1;DeepPink;#FF1493;255;20;147;
pink;1;MediumVioletRed;#C71585;199;21;133;
pink;1;PaleVioletRed;#DB7093;219;112;147;
orange;1;LightSalmon;#FFA07A;255;160;122;
orange;1;Coral;#FF7F50;255;127;80;
orange;1;Tomato;#FF6347;255;99;71;
orange;1;OrangeRed;#FF4500;255;69;0;
orange;1;DarkOrange;#FF8C00;255;140;0;
orange;1;Orange;#FFA500;255;165;0;
yellow;1;Gold;#FFD700;255;215;0;
yellow;1;Yellow;#FFFF00;255;255;0;
yellow;1;LightYellow;#FFFFE0;255;255;224;
yellow;1;LemonChiffon;#FFFACD;255;250;205;
yellow;1;LightGoldenrodYellow;#FAFAD2;250;250;210;
yellow;1;PapayaWhip;#FFEFD5;255;239;213;
yellow;1;Moccasin;#FFE4B5;255;228;181;
yellow;1;PeachPuff;#FFDAB9;255;218;185;
yellow;1;PaleGoldenrod;#EEE8AA;238;232;170;
yellow;1;Khaki;#F0E68C;240;230;140;
yellow;1;DarkKhaki;#BDB76B;189;183;107;
purple;1;Lavender;#E6E6FA;230;230;250;
purple;1;Thistle;#D8BFD8;216;191;216;
purple;1;Plum;#DDA0DD;221;160;221;
purple;1;Violet;#EE82EE;238;130;238;
purple;1;Orchid;#DA70D6;218;112;214;
purple;1;Fuchsia;#FF00FF;255;0;255;
purple;1;Magenta;#FF00FF;255;0;255;
purple;1;MediumOrchid;#BA55D3;186;85;211;
purple;1;MediumPurple;#9370DB;147;112;219;
purple;1;RebeccaPurple;#663399;102;51;153;
purple;1;BlueViolet;#8A2BE2;138;43;226;
purple;1;DarkViolet;#9400D3;148;0;211;
purple;1;DarkOrchid;#9932CC;153;50;204;
purple;1;DarkMagenta;#8B008B;139;0;139;
purple;1;Purple;#800080;128;0;128;
purple;1;Indigo;#4B0082;75;0;130;
purple;1;SlateBlue;#6A5ACD;106;90;205;
purple;1;DarkSlateBlue;#483D8B;72;61;139;
purple;1;MediumSlateBlue;#7B68EE;123;104;238;
green;1;GreenYellow;#ADFF2F;173;255;47;
green;1;Chartreuse;#7FFF00;127;255;0;
green;1;LawnGreen;#7CFC00;124;252;0;
green;1;Lime;#00FF00;0;255;0;
green;1;LimeGreen;#32CD32;50;205;50;
green;1;PaleGreen;#98FB98;152;251;152;
green;1;LightGreen;#90EE90;144;238;144;
green;1;MediumSpringGreen;#00FA9A;0;250;154;
green;1;SpringGreen;#00FF7F;0;255;127;
green;1;MediumSeaGreen;#3CB371;60;179;113;
green;1;SeaGreen;#2E8B57;46;139;87;
green;1;ForestGreen;#228B22;34;139;34;
green;1;Green;#008000;0;128;0;
green;1;DarkGreen;#006400;0;100;0;
green;1;YellowGreen;#9ACD32;154;205;50;
green;1;OliveDrab;#6B8E23;107;142;35;
green;1;Olive;#808000;128;128;0;
green;1;DarkOliveGreen;#556B2F;85;107;47;
blue;0;MediumAquamarine;#66CDAA;102;205;170;green to blue
green;1;DarkSeaGreen;#8FBC8B;143;188;139;
blue;0;LightSeaGreen;#20B2AA;32;178;170;green to blue
blue;0;DarkCyan;#008B8B;0;139;139;green to blue
blue;0;Teal;#008080;0;128;128;green to blue
blue;1;Aqua;#00FFFF;0;255;255;
blue;1;Cyan;#00FFFF;0;255;255;
blue;1;LightCyan;#E0FFFF;224;255;255;
blue;1;PaleTurquoise;#AFEEEE;175;238;238;
green;0;Aquamarine;#7FFFD4;127;255;212;blue to green
green;0;Turquoise;#40E0D0;64;224;208;blue to green
green;0;MediumTurquoise;#48D1CC;72;209;204;blue to green
